task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
AlloprofReranking,test,default,,65.9,69.4,76.0,64.4,55.4,67.0,62.6,,69.6,62.4,67.2
AskUbuntuDupQuestions,test,default,61.1,59.3,59.2,60.0,56.4,52.7,64.1,63.5,,65.9,60.5,60.2
CMedQAv1-reranking,test,default,,66.5,67.6,77.2,64.7,39.0,19.6,18.2,,18.5,47.3,50.2
CMedQAv2-reranking,test,default,,66.3,66.8,78.2,64.1,40.2,20.1,17.7,,18.8,48.6,50.4
MMarcoReranking,dev,default,,30.5,29.1,24.5,30.0,14.8,5.3,4.7,,4.6,16.1,14.6
MindSmallReranking,test,default,31.5,29.3,30.2,32.7,30.0,29.8,31.0,30.8,31.0,,30.4,30.2
RuBQReranking,test,default,,72.0,75.6,75.5,71.5,55.1,38.5,27.0,,31.0,52.8,58.8
SciDocsRR,test,default,84.8,81.8,84.2,84.6,78.3,68.7,87.2,87.1,88.7,,77.8,78.1
StackOverflowDupQuestions,test,default,51.0,49.7,50.1,49.5,47.0,42.4,51.5,50.8,,52.0,45.8,46.8
SyntecReranking,test,default,83.3,85.3,85.4,88.8,81.2,67.6,69.2,67.3,,66.1,72.5,81.0
T2Reranking,dev,default,,64.9,66.3,66.7,65.7,63.3,60.3,56.3,,58.3,65.3,64.5
WebLINXCandidatesReranking,test_cat,default,,5.5,6.5,,8.8,10.2,4.7,6.4,,7.2,6.7,5.5
WebLINXCandidatesReranking,test_geo,default,,8.2,9.5,,11.0,9.4,5.9,9.0,,8.8,7.1,7.6
WebLINXCandidatesReranking,test_iid,default,,6.3,7.2,,9.9,7.9,4.6,8.1,,8.3,7.5,6.3
WebLINXCandidatesReranking,test_vis,default,,8.0,8.5,,9.6,9.8,4.8,8.5,,8.8,5.6,5.5
WebLINXCandidatesReranking,test_web,default,,5.4,6.2,,9.9,7.3,4.1,5.2,,6.5,4.9,6.1
WebLINXCandidatesReranking,validation,default,,8.8,8.8,,12.4,10.3,5.2,11.2,,7.9,8.2,7.1
WikipediaRerankingMultilingual,test,bg,,87.9,89.7,,86.5,80.6,64.3,52.2,,57.0,81.1,83.2
WikipediaRerankingMultilingual,test,bn,,83.0,85.2,,83.4,79.2,44.3,36.2,,39.6,41.0,70.1
WikipediaRerankingMultilingual,test,cs,,88.2,90.0,,87.4,80.8,71.9,69.4,,62.8,80.2,82.1
WikipediaRerankingMultilingual,test,da,,89.7,91.3,,88.4,82.6,76.6,74.1,,72.8,81.2,83.0
WikipediaRerankingMultilingual,test,de,,87.6,90.2,,87.2,82.0,76.5,74.6,,74.3,81.5,83.2
WikipediaRerankingMultilingual,test,en,,90.8,91.6,,90.1,82.8,87.8,86.8,,89.3,85.6,86.1
WikipediaRerankingMultilingual,test,fa,,86.8,89.3,,86.8,82.4,46.6,39.0,,42.6,80.8,83.0
WikipediaRerankingMultilingual,test,fi,,88.8,91.4,,88.1,82.0,72.3,67.1,,61.4,80.2,83.7
WikipediaRerankingMultilingual,test,hi,,84.5,86.7,,85.3,78.8,50.8,42.2,,45.6,77.5,78.6
WikipediaRerankingMultilingual,test,it,,88.9,91.5,,88.2,80.9,78.5,76.6,,74.7,81.7,83.0
WikipediaRerankingMultilingual,test,nl,,88.5,90.3,,87.2,80.5,75.2,73.1,,73.9,80.6,82.3
WikipediaRerankingMultilingual,test,no,,86.7,89.0,,85.3,77.7,72.6,69.9,,70.8,78.2,81.6
WikipediaRerankingMultilingual,test,pt,,86.1,87.7,,84.7,80.9,76.5,75.6,,72.1,81.4,82.0
WikipediaRerankingMultilingual,test,ro,,88.3,90.4,,87.6,81.0,76.9,74.8,,74.3,81.4,84.3
WikipediaRerankingMultilingual,test,sr,,88.0,89.3,,87.2,80.7,60.6,47.8,,53.0,81.9,83.5
WikipediaRerankingMultilingual,test,sv,,90.0,91.6,,88.7,82.0,76.0,73.3,,71.5,81.8,85.2
