,name,type,languages,domains,license
0,AmazonCounterfactualClassification,Classification,"['deu', 'eng', 'jpn']","['Reviews', 'Written']",cc-by-4.0
1,ArguAna,Retrieval,['eng'],"['Medical', 'Written']",cc-by-sa-4.0
2,ArXivHierarchicalClusteringP2P,Clustering,['eng'],"['Academic', 'Written']",cc0-1.0
3,ArXivHierarchicalClusteringS2S,Clustering,['eng'],"['Academic', 'Written']",cc0-1.0
4,AskUbuntuDupQuestions,Reranking,['eng'],,
5,BIOSSES,STS,['eng'],,
6,Banking77Classification,Classification,['eng'],['Written'],mit
7,BiorxivClusteringP2P.v2,Clustering,['eng'],"['Academic', 'Written']",https://www.biorxiv.org/content/about-biorxiv
8,CQADupstackGamingRetrieval,Retrieval,['eng'],,
9,CQADupstackUnixRetrieval,Retrieval,['eng'],,
10,ClimateFEVERHardNegatives,Retrieval,['eng'],,
11,FEVERHardNegatives,Retrieval,['eng'],,
12,FiQA2018,Retrieval,['eng'],,
13,HotpotQAHardNegatives,Retrieval,['eng'],"['Web', 'Written']",cc-by-sa-4.0
14,ImdbClassification,Classification,['eng'],"['Reviews', 'Written']",not specified
15,MTOPDomainClassification,Classification,"['deu', 'eng', 'fra', 'hin', 'spa', 'tha']","['Spoken', 'Spoken']",not specified
16,MassiveIntentClassification,Classification,"['afr', 'amh', 'ara', 'aze', 'ben', 'cmo', 'cym', 'dan', 'deu', 'ell', 'eng', 'fas', 'fin', 'fra', 'heb', 'hin', 'hun', 'hye', 'ind', 'isl', 'ita', 'jav', 'jpn', 'kan', 'kat', 'khm', 'kor', 'lav', 'mal', 'mon', 'msa', 'mya', 'nld', 'nob', 'pol', 'por', 'ron', 'rus', 'slv', 'spa', 'sqi', 'swa', 'swe', 'tam', 'tel', 'tgl', 'tha', 'tur', 'urd', 'vie']",['Spoken'],apache-2.0
17,MassiveScenarioClassification,Classification,"['afr', 'amh', 'ara', 'aze', 'ben', 'cmo', 'cym', 'dan', 'deu', 'ell', 'eng', 'fas', 'fin', 'fra', 'heb', 'hin', 'hun', 'hye', 'ind', 'isl', 'ita', 'jav', 'jpn', 'kan', 'kat', 'khm', 'kor', 'lav', 'mal', 'mon', 'msa', 'mya', 'nld', 'nob', 'pol', 'por', 'ron', 'rus', 'slv', 'spa', 'sqi', 'swa', 'swe', 'tam', 'tel', 'tgl', 'tha', 'tur', 'urd', 'vie']",['Spoken'],apache-2.0
18,MedrxivClusteringP2P.v2,Clustering,['eng'],"['Academic', 'Medical', 'Written']",https://www.medrxiv.org/content/about-medrxiv
19,MedrxivClusteringS2S.v2,Clustering,['eng'],"['Academic', 'Medical', 'Written']",https://www.medrxiv.org/content/about-medrxiv
20,MindSmallReranking,Reranking,['eng'],"['News', 'Written']",https://github.com/msnews/MIND/blob/master/MSR%20License_Data.pdf
21,SCIDOCS,Retrieval,['eng'],"['Academic', 'Written', 'Non-fiction']",cc-by-sa-4.0
22,SICK-R,STS,['eng'],,
23,STS12,STS,['eng'],"['Encyclopaedic', 'News', 'Written']",not specified
24,STS13,STS,['eng'],"['Web', 'News', 'Non-fiction', 'Written']",not specified
25,STS14,STS,['eng'],"['Blog', 'Web', 'Spoken']",not specified
26,STS15,STS,['eng'],"['Blog', 'News', 'Web', 'Written', 'Spoken']",not specified
27,STS17,STS,"['ara', 'deu', 'eng', 'fra', 'ita', 'kor', 'nld', 'spa', 'tur']","['News', 'Web', 'Written']",not specified
28,STS22.v2,STS,"['ara', 'cmn', 'deu', 'eng', 'fra', 'ita', 'pol', 'rus', 'spa', 'tur']","['News', 'Written']",not specified
29,STSBenchmark,STS,['eng'],,
30,SprintDuplicateQuestions,PairClassification,['eng'],"['Programming', 'Written']",not specified
31,StackExchangeClustering.v2,Clustering,['eng'],"['Web', 'Written']",not specified
32,StackExchangeClusteringP2P.v2,Clustering,['eng'],"['Web', 'Written']",not specified
33,TRECCOVID,Retrieval,['eng'],,
34,Touche2020,Retrieval,['eng'],,
35,ToxicConversationsClassification,Classification,['eng'],"['Social', 'Written']",cc-by-4.0
36,TweetSentimentExtractionClassification,Classification,['eng'],"['Social', 'Written']",not specified
37,TwentyNewsgroupsClustering.v2,Clustering,['eng'],"['News', 'Written']",not specified
38,TwitterSemEval2015,PairClassification,['eng'],,
39,TwitterURLCorpus,PairClassification,['eng'],,
